Project,Client,Title,Duration,Billable duration
Cleaning & Organization,,cleaning room,03:49:14,00:00:00
Cleaning & Organization,,laundry,01:45:53,00:00:00
EECS 200 - EE Systems Design 1,,lab,25:08:07,00:00:00
EECS 200 - EE Systems Design 1,,lecture,11:49:06,00:00:00
EECS 200 - EE Systems Design 1,,scheduling,01:22:28,00:00:00
EECS 215 - Intro to Electronic Circuits,,disc,05:14:54,00:00:00
EECS 215 - Intro to Electronic Circuits,,hw,40:03:52,00:00:00
EECS 215 - Intro to Electronic Circuits,,hw review,03:51:41,00:00:00
EECS 215 - Intro to Electronic Circuits,,lab,12:02:15,00:00:00
EECS 215 - Intro to Electronic Circuits,,lecture,17:30:34,00:00:00
EECS 215 - Intro to Electronic Circuits,,Lecture,03:28:45,00:00:00
EECS 215 - Intro to Electronic Circuits,,practice,00:19:17,00:00:00
EECS 215 - Intro to Electronic Circuits,,quiz,07:15:31,00:00:00
EECS 215 - Intro to Electronic Circuits,,Quiz,03:13:33,00:00:00
EECS 280 - Programming & Data Structures,,entry servey,00:23:11,00:00:00
EECS 280 - Programming & Data Structures,,lab,13:05:01,00:00:00
EECS 280 - Programming & Data Structures,,lab2,00:25:06,00:00:00
EECS 280 - Programming & Data Structures,,lecture,06:34:44,00:00:00
EECS 280 - Programming & Data Structures,,midterm,02:04:19,00:00:00
EECS 280 - Programming & Data Structures,,project 2,12:31:56,00:00:00
EECS 280 - Programming & Data Structures,,project 3,10:14:58,00:00:00
EECS 280 - Programming & Data Structures,,studying,09:28:27,00:00:00
Engineering Projects,,amp,00:39:26,00:00:00
Engineering Projects,,board,11:41:54,00:00:00
Engineering Projects,,iron core,02:23:57,00:00:00
Engineering Projects,,manymeter,00:12:02,00:00:00
Engineering Projects,,mic,02:09:04,00:00:00
Engineering Projects,,mirror,00:34:17,00:00:00
Engineering Projects,,radio,01:09:01,00:00:00
Engineering Projects,,reading,00:28:58,00:00:00
Engineering Projects,,research,00:30:12,00:00:00
Engineering Projects,,solder,00:11:19,00:00:00
Engineering Projects,,speaker,01:15:02,00:00:00
Engineering Projects,,testing transformers,01:04:37,00:00:00
Engineering Projects,,transformer+generator,00:19:48,00:00:00
Engineering Projects,,voltage mult,05:37:42,00:00:00
ENGR 100 - Intro to Autonomous Systems,,disc,02:47:55,00:00:00
ENGR 100 - Intro to Autonomous Systems,,discussion,03:25:48,00:00:00
ENGR 100 - Intro to Autonomous Systems,,essay,04:15:26,00:00:00
ENGR 100 - Intro to Autonomous Systems,,exam,01:36:38,00:00:00
ENGR 100 - Intro to Autonomous Systems,,hw,00:13:49,00:00:00
ENGR 100 - Intro to Autonomous Systems,,lab,21:19:14,00:00:00
ENGR 100 - Intro to Autonomous Systems,,lecture,12:26:57,00:00:00
ENGR 100 - Intro to Autonomous Systems,,prelab,00:35:33,00:00:00
ENGR 100 - Intro to Autonomous Systems,,presentation,01:54:07,00:00:00
ENGR 100 - Intro to Autonomous Systems,,project proposal,01:17:43,00:00:00
ENGR 100 - Intro to Autonomous Systems,,safety quiz,00:13:37,00:00:00
ENGR 100 - Intro to Autonomous Systems,,studying,01:27:45,00:00:00
ENGR 100 - Intro to Autonomous Systems,,survey,00:23:15,00:00:00
Health,,filling prescriptions,02:55:03,00:00:00
Hiking and Mapping,,exploring,01:29:31,00:00:00
Hiking and Mapping,,hiking,03:51:41,00:00:00
Hiking and Mapping,,hunting books,02:04:26,00:00:00
Math 216 - Intro to Differential Equations,,homework,01:42:05,00:00:00
Math 216 - Intro to Differential Equations,,hw,36:53:24,00:00:00
Math 216 - Intro to Differential Equations,,lab,28:40:34,00:00:00
Math 216 - Intro to Differential Equations,,lab & hw,03:47:21,00:00:00
Math 216 - Intro to Differential Equations,,lecture,11:32:19,00:00:00
Math 216 - Intro to Differential Equations,,midterm,02:19:00,00:00:00
Math 216 - Intro to Differential Equations,,peer rev,00:25:36,00:00:00
Math 216 - Intro to Differential Equations,,prelab,07:13:25,00:00:00
Math 216 - Intro to Differential Equations,,quiz,03:49:01,00:00:00
Math 216 - Intro to Differential Equations,,review,00:27:45,00:00:00
Math 216 - Intro to Differential Equations,,studying,03:30:48,00:00:00
Math 216 - Intro to Differential Equations,,web hw,01:32:45,00:00:00
Misc College Work,,advisor,00:26:56,00:00:00
Misc College Work,,career fair,00:20:23,00:00:00
Misc College Work,,community matters,00:06:53,00:00:00
Misc College Work,,cre,01:08:18,00:00:00
Misc College Work,,ece grad,00:48:07,00:00:00
Misc College Work,,festifall,00:44:53,00:00:00
Misc College Work,,going through emails,00:21:53,00:00:00
Misc College Work,,grades,00:06:56,00:00:00
Misc College Work,,linkedin,00:18:37,00:00:00
Misc College Work,,mentor,00:41:18,00:00:00
Misc College Work,,organizing notes,00:16:38,00:00:00
Misc College Work,,planning classes,03:58:26,00:00:00
Misc College Work,,Wentzloff email,00:12:30,00:00:00
Misc Programming,,scheduler,02:48:57,00:00:00
Misc Programming,,toggl analysis,04:13:23,00:00:00
Scheduling & Planning,,calendar,01:43:06,00:00:00
Scheduling & Planning,,class diagrams,00:47:17,00:00:00
Scheduling & Planning,,scheduling,00:04:30,00:00:00
Scheduling & Planning,,updating schedule,00:06:15,00:00:00
